student_id,age,math_score,science_score,english_score,city,gender,grade,study_hours
69,21.0,48.0,30.0,91.0,Kathmandu,Female,D,6.0
70,23.0,28.0,74.0,0.0,Kathmandu,Other,C,5.0
71,,,,,,,C,
72,19.0,21.0,97.0,31.0,Lalitpur,Other,C,1.0
73,16.0,25.0,3.0,47.0,Kathmandu,Female,B,6.0
74,19.0,27.0,18.0,3.0,Lalitpur,Female,C,0.0
75,22.0,84.0,69.0,93.0,Biratnagar,Other,B,0.0
76,24.0,48.0,97.0,69.0,Pokhara,Other,B,0.0
77,,,,,,,C,
78,23.0,80.0,12.0,31.0,Kathmandu,Female,C,3.0
79,15.0,83.0,22.0,8.0,Bhaktapur,Female,B,3.0
80,23.0,48.0,82.0,11.0,Kathmandu,Male,B,1.0
81,21.0,19.0,74.0,10.0,Lalitpur,Female,C,0.0
82,23.0,85.0,0.0,45.0,Bhaktapur,Female,C,9.0
83,22.0,91.0,87.0,15.0,Lalitpur,Female,D,8.0
84,15.0,62.0,53.0,0.0,Biratnagar,Other,B,6.0
85,22.0,60.0,70.0,62.0,Lalitpur,Female,B,3.0
86,22.0,48.0,88.0,20.0,Biratnagar,Other,D,5.0
87,17.0,70.0,84.0,29.0,Biratnagar,Male,B,1.0
88,15.0,0.0,14.0,12.0,Lalitpur,Male,A,6.0
89,,,,,,,B,
90,17.0,12.0,75.0,3.0,Biratnagar,Other,D,9.0
91,17.0,93.0,70.0,27.0,Bhaktapur,Other,A,7.0
92,15.0,86.0,14.0,94.0,Biratnagar,Female,C,7.0
93,19.0,50.0,20.0,58.0,Pokhara,Male,D,0.0
94,24.0,55.0,18.0,26.0,Biratnagar,Other,D,7.0
95,21.0,82.0,59.0,68.0,Bhaktapur,Female,C,1.0
96,24.0,61.0,92.0,24.0,Pokhara,Male,D,5.0
97,,,,,,,B,
98,21.0,29.0,32.0,96.0,Kathmandu,Male,C,4.0
99,23.0,28.0,48.0,67.0,Bhaktapur,Female,D,6.0
100,22.0,48.0,95.0,24.0,Biratnagar,Male,C,9.0
101,16.0,44.0,34.0,19.0,Lalitpur,Male,C,0.0
102,,,,,,,C,
103,21.0,29.0,89.0,25.0,Pokhara,Other,A,6.0
104,21.0,15.0,10.0,4.0,Pokhara,Male,D,5.0
105,22.0,39.0,98.0,98.0,Kathmandu,Other,A,2.0
106,19.0,18.0,71.0,60.0,Pokhara,Female,D,9.0
107,17.0,17.0,77.0,91.0,Bhaktapur,Other,B,1.0
108,,,,,,,B,
109,20.0,77.0,65.0,8.0,Bhaktapur,Other,B,3.0
110,17.0,46.0,45.0,49.0,Lalitpur,Other,D,2.0
111,15.0,65.0,8.0,5.0,Kathmandu,Other,C,6.0
112,17.0,91.0,2.0,82.0,Pokhara,Male,C,7.0
113,19.0,93.0,84.0,59.0,Bhaktapur,Male,A,1.0
114,17.0,37.0,25.0,43.0,Biratnagar,Male,A,9.0
115,15.0,50.0,71.0,10.0,Kathmandu,Female,B,6.0
116,19.0,62.0,47.0,65.0,Lalitpur,Other,A,7.0
117,24.0,3.0,65.0,46.0,Bhaktapur,Male,D,5.0
118,21.0,0.0,69.0,72.0,Lalitpur,Female,D,5.0
119,21.0,7.0,27.0,84.0,Lalitpur,Male,A,9.0
120,23.0,28.0,92.0,87.0,Pokhara,Male,A,0.0
121,24.0,54.0,25.0,97.0,Pokhara,Other,A,3.0
122,24.0,2.0,24.0,85.0,Bhaktapur,Female,A,0.0
123,17.0,31.0,11.0,2.0,Biratnagar,Other,B,3.0
124,21.0,9.0,4.0,75.0,Bhaktapur,Other,B,1.0
125,15.0,73.0,97.0,91.0,Biratnagar,Male,A,4.0
126,18.0,82.0,47.0,29.0,Lalitpur,Other,D,9.0
127,18.0,33.0,36.0,89.0,Kathmandu,Female,B,8.0
128,19.0,96.0,78.0,20.0,Bhaktapur,Other,D,9.0
129,21.0,86.0,43.0,27.0,Bhaktapur,Other,C,2.0
130,21.0,54.0,99.0,89.0,Biratnagar,Other,D,7.0
131,18.0,91.0,14.0,61.0,Lalitpur,Male,A,2.0
132,21.0,31.0,42.0,32.0,Lalitpur,Female,C,5.0
133,17.0,49.0,47.0,84.0,Biratnagar,Male,B,3.0
134,20.0,6.0,86.0,34.0,Lalitpur,Male,B,7.0
135,16.0,92.0,69.0,51.0,Pokhara,Male,C,5.0
136,24.0,7.0,45.0,33.0,Kathmandu,Male,D,7.0
137,,,,,,,B,
138,19.0,56.0,20.0,50.0,Kathmandu,Female,A,5.0
139,20.0,66.0,22.0,46.0,Bhaktapur,Other,C,0.0
140,,,,,,,A,
141,24.0,86.0,46.0,57.0,Lalitpur,Male,C,7.0
142,21.0,58.0,14.0,74.0,Biratnagar,Female,B,6.0
143,23.0,71.0,24.0,56.0,Pokhara,Female,D,2.0
144,21.0,53.0,35.0,22.0,Kathmandu,Other,C,5.0
145,15.0,66.0,74.0,47.0,Biratnagar,Female,C,8.0
146,15.0,50.0,50.0,21.0,Lalitpur,Other,A,6.0
147,23.0,96.0,14.0,16.0,Pokhara,Male,B,2.0
148,23.0,91.0,67.0,68.0,Biratnagar,Male,A,5.0
149,18.0,7.0,20.0,10.0,Pokhara,Other,B,3.0
150,23.0,33.0,12.0,93.0,Pokhara,Female,A,2.0
151,17.0,34.0,85.0,14.0,Lalitpur,Other,C,8.0
152,21.0,95.0,18.0,90.0,Bhaktapur,Female,A,9.0
153,20.0,87.0,33.0,34.0,Biratnagar,Male,D,1.0
154,22.0,77.0,77.0,32.0,Lalitpur,Female,B,0.0
155,23.0,31.0,67.0,83.0,Pokhara,Other,B,1.0
156,19.0,45.0,51.0,15.0,Lalitpur,Other,C,6.0
157,15.0,15.0,26.0,33.0,Bhaktapur,Male,B,9.0
158,17.0,67.0,28.0,65.0,Biratnagar,Female,D,0.0
159,24.0,36.0,27.0,98.0,Bhaktapur,Female,A,5.0
160,22.0,53.0,34.0,39.0,Kathmandu,Female,C,6.0
161,20.0,84.0,7.0,27.0,Biratnagar,Male,D,8.0
162,22.0,13.0,15.0,46.0,Bhaktapur,Female,B,7.0
163,23.0,94.0,35.0,38.0,Pokhara,Other,B,5.0
164,18.0,54.0,29.0,69.0,Biratnagar,Female,D,2.0
165,15.0,47.0,17.0,72.0,Biratnagar,Male,A,7.0
166,15.0,81.0,1.0,19.0,Lalitpur,Female,A,6.0
167,24.0,6.0,48.0,0.0,Pokhara,Female,C,2.0
168,18.0,73.0,76.0,71.0,Kathmandu,Other,B,8.0
169,21.0,6.0,3.0,86.0,Bhaktapur,Female,D,1.0
170,16.0,32.0,89.0,62.0,Lalitpur,Other,A,2.0
171,17.0,22.0,88.0,66.0,Bhaktapur,Other,C,1.0
172,15.0,84.0,93.0,3.0,Kathmandu,Male,B,0.0
173,19.0,18.0,74.0,57.0,Kathmandu,Other,B,3.0
174,15.0,18.0,6.0,24.0,Biratnagar,Other,C,4.0
175,,,,,,,C,
176,15.0,28.0,73.0,37.0,Bhaktapur,Other,A,4.0
177,15.0,59.0,38.0,14.0,Pokhara,Male,D,0.0
178,16.0,81.0,12.0,62.0,Pokhara,Female,B,2.0
179,16.0,1.0,30.0,20.0,Biratnagar,Male,D,0.0
180,20.0,0.0,70.0,98.0,Bhaktapur,Other,B,4.0
181,21.0,46.0,62.0,56.0,Bhaktapur,Male,B,4.0
182,19.0,68.0,55.0,52.0,Kathmandu,Other,D,5.0
183,15.0,19.0,41.0,45.0,Bhaktapur,Female,C,7.0
184,15.0,10.0,60.0,13.0,Lalitpur,Male,A,9.0
185,17.0,1.0,41.0,99.0,Kathmandu,Female,B,0.0
186,16.0,66.0,55.0,75.0,Lalitpur,Other,C,3.0
187,19.0,86.0,35.0,16.0,Biratnagar,Other,B,9.0
188,24.0,11.0,83.0,38.0,Pokhara,Female,A,0.0
189,20.0,19.0,67.0,8.0,Biratnagar,Male,B,8.0
190,21.0,4.0,6.0,98.0,Pokhara,Male,A,6.0
191,18.0,36.0,53.0,76.0,Biratnagar,Other,A,6.0
192,21.0,37.0,0.0,78.0,Bhaktapur,Female,B,4.0
193,22.0,93.0,43.0,81.0,Lalitpur,Female,B,6.0
194,15.0,8.0,44.0,96.0,Pokhara,Male,A,1.0
195,20.0,97.0,46.0,5.0,Kathmandu,Male,C,3.0
196,22.0,52.0,12.0,90.0,Lalitpur,Male,D,6.0
197,19.0,43.0,21.0,22.0,Kathmandu,Female,A,2.0
198,18.0,98.0,20.0,58.0,Lalitpur,Male,B,1.0
199,,,,,,,B,
200,20.0,23.0,91.0,97.0,Biratnagar,Other,C,1.0
201,20.0,80.0,8.0,45.0,Pokhara,Male,D,0.0
202,15.0,73.0,25.0,37.0,Pokhara,Male,A,4.0
203,23.0,29.0,8.0,13.0,Lalitpur,Female,A,5.0
204,20.0,58.0,14.0,99.0,Bhaktapur,Female,D,5.0
205,17.0,86.0,9.0,71.0,Bhaktapur,Other,A,8.0
206,18.0,95.0,87.0,61.0,Kathmandu,Male,D,3.0
207,18.0,80.0,41.0,34.0,Kathmandu,Other,B,0.0
208,17.0,80.0,71.0,18.0,Biratnagar,Female,D,5.0
209,24.0,13.0,23.0,29.0,Lalitpur,Other,A,4.0
210,,,,,,,D,
211,,,,,,,C,
212,18.0,65.0,25.0,24.0,Lalitpur,Other,B,2.0
213,21.0,24.0,90.0,39.0,Biratnagar,Male,B,1.0
214,18.0,72.0,36.0,87.0,Kathmandu,Other,D,5.0
215,23.0,21.0,67.0,13.0,Biratnagar,Male,A,0.0
216,15.0,3.0,49.0,25.0,Pokhara,Male,C,6.0
217,22.0,25.0,23.0,86.0,Biratnagar,Male,B,6.0
218,21.0,57.0,18.0,21.0,Bhaktapur,Male,B,9.0
219,,,,,,,A,
220,22.0,97.0,59.0,82.0,Biratnagar,Female,A,9.0
221,15.0,86.0,38.0,50.0,Bhaktapur,Female,C,0.0
222,,,,,,,D,
223,23.0,74.0,88.0,41.0,Lalitpur,Other,A,6.0
224,16.0,69.0,17.0,18.0,Bhaktapur,Male,D,8.0
225,21.0,17.0,18.0,72.0,Bhaktapur,Female,C,4.0
226,24.0,84.0,35.0,27.0,Biratnagar,Other,D,1.0
227,17.0,41.0,73.0,83.0,Pokhara,Male,B,6.0
228,21.0,99.0,96.0,44.0,Lalitpur,Female,D,9.0
229,24.0,40.0,54.0,70.0,Biratnagar,Male,C,0.0
230,23.0,37.0,68.0,77.0,Biratnagar,Female,C,6.0
231,18.0,33.0,46.0,62.0,Pokhara,Female,C,5.0
232,15.0,16.0,48.0,72.0,Lalitpur,Female,D,6.0
233,16.0,36.0,98.0,18.0,Pokhara,Male,B,9.0
234,15.0,24.0,97.0,46.0,Lalitpur,Other,A,2.0
235,19.0,75.0,32.0,13.0,Pokhara,Male,B,2.0
236,,,,,,,D,
237,21.0,85.0,80.0,52.0,Biratnagar,Male,D,1.0
238,23.0,84.0,21.0,60.0,Kathmandu,Other,A,0.0
239,23.0,26.0,47.0,35.0,Bhaktapur,Male,D,8.0
240,17.0,56.0,36.0,39.0,Pokhara,Other,C,8.0
241,17.0,30.0,14.0,80.0,Kathmandu,Other,C,6.0
242,17.0,5.0,34.0,29.0,Bhaktapur,Male,C,6.0
243,18.0,90.0,91.0,8.0,Pokhara,Female,C,2.0
244,22.0,39.0,70.0,63.0,Lalitpur,Other,C,9.0
245,20.0,97.0,31.0,32.0,Bhaktapur,Male,D,1.0
246,22.0,11.0,10.0,51.0,Biratnagar,Other,A,6.0
247,15.0,52.0,9.0,88.0,Kathmandu,Female,A,8.0
248,22.0,70.0,72.0,13.0,Bhaktapur,Male,C,0.0
249,18.0,9.0,77.0,74.0,Bhaktapur,Male,D,3.0
250,15.0,44.0,76.0,52.0,Biratnagar,Male,B,5.0
251,22.0,16.0,56.0,98.0,Pokhara,Female,B,6.0
252,18.0,25.0,24.0,58.0,Lalitpur,Other,D,9.0
253,20.0,84.0,1.0,77.0,Biratnagar,Male,C,6.0
254,22.0,91.0,63.0,93.0,Lalitpur,Other,A,9.0
255,18.0,61.0,34.0,40.0,Pokhara,Other,D,1.0
256,17.0,45.0,6.0,67.0,Bhaktapur,Female,B,3.0
257,23.0,63.0,84.0,67.0,Lalitpur,Male,B,4.0
258,17.0,1.0,17.0,91.0,Kathmandu,Other,B,0.0
259,23.0,53.0,66.0,7.0,Kathmandu,Male,C,0.0
260,16.0,64.0,41.0,1.0,Biratnagar,Male,B,9.0
261,16.0,50.0,38.0,85.0,Pokhara,Female,D,2.0
262,,,,,,,D,
263,20.0,35.0,74.0,54.0,Biratnagar,Male,B,2.0
264,17.0,25.0,23.0,15.0,Biratnagar,Other,D,7.0
265,23.0,28.0,59.0,92.0,Kathmandu,Female,B,8.0
266,18.0,20.0,45.0,61.0,Kathmandu,Male,B,0.0
267,15.0,10.0,18.0,47.0,Biratnagar,Other,A,1.0
268,18.0,39.0,67.0,29.0,Kathmandu,Female,C,9.0
269,15.0,10.0,89.0,11.0,Pokhara,Female,C,1.0
270,19.0,35.0,41.0,34.0,Biratnagar,Other,A,3.0
271,18.0,58.0,31.0,10.0,Kathmandu,Other,A,1.0
272,22.0,38.0,38.0,63.0,Lalitpur,Other,C,6.0
273,22.0,98.0,35.0,49.0,Biratnagar,Other,B,8.0
274,21.0,53.0,96.0,84.0,Biratnagar,Other,B,6.0
275,17.0,97.0,35.0,20.0,Pokhara,Male,C,5.0
276,,,,,,,B,
277,15.0,23.0,72.0,47.0,Bhaktapur,Female,A,0.0
278,,,,,,,B,
279,20.0,68.0,96.0,66.0,Pokhara,Male,B,8.0
280,21.0,55.0,69.0,43.0,Pokhara,Male,D,4.0
281,,,,,,,D,
282,20.0,35.0,67.0,72.0,Pokhara,Female,D,5.0
283,20.0,19.0,12.0,60.0,Kathmandu,Female,B,8.0
284,17.0,82.0,48.0,8.0,Biratnagar,Female,C,7.0
285,20.0,98.0,59.0,67.0,Biratnagar,Female,A,7.0
286,22.0,80.0,1.0,34.0,Lalitpur,Male,B,7.0
287,16.0,61.0,59.0,80.0,Lalitpur,Male,C,0.0
288,19.0,97.0,4.0,97.0,Biratnagar,Other,B,0.0
289,15.0,72.0,43.0,87.0,Kathmandu,Female,A,7.0
290,,,,,,,B,
291,19.0,65.0,31.0,64.0,Bhaktapur,Male,A,8.0
292,17.0,72.0,20.0,7.0,Kathmandu,Other,B,1.0
293,,,,,,,A,
294,17.0,39.0,71.0,86.0,Pokhara,Other,B,7.0
295,15.0,16.0,49.0,46.0,Biratnagar,Male,A,8.0
296,15.0,0.0,66.0,39.0,Biratnagar,Male,D,3.0
297,,,,,,,B,
298,20.0,60.0,57.0,53.0,Bhaktapur,Female,B,0.0
299,17.0,42.0,2.0,75.0,Lalitpur,Other,C,4.0
300,,,,,,,C,
301,19.0,24.0,69.0,46.0,Bhaktapur,Other,A,7.0
302,22.0,38.0,1.0,14.0,Lalitpur,Other,B,9.0
303,15.0,34.0,86.0,18.0,Kathmandu,Male,A,4.0
304,19.0,2.0,43.0,25.0,Kathmandu,Female,D,4.0
305,17.0,43.0,1.0,51.0,Bhaktapur,Other,C,1.0
306,15.0,50.0,80.0,92.0,Lalitpur,Female,A,6.0
307,18.0,93.0,34.0,21.0,Kathmandu,Female,A,7.0
308,,,,,,,C,
309,21.0,11.0,86.0,50.0,Pokhara,Other,B,0.0
310,15.0,18.0,29.0,37.0,Pokhara,Male,A,1.0
311,17.0,43.0,7.0,19.0,Kathmandu,Other,C,9.0
312,16.0,58.0,21.0,28.0,Bhaktapur,Female,B,3.0
313,,,,,,,D,
314,24.0,60.0,57.0,3.0,Biratnagar,Male,C,1.0
315,20.0,16.0,35.0,54.0,Kathmandu,Other,A,0.0
316,24.0,73.0,68.0,70.0,Kathmandu,Female,D,8.0
317,17.0,56.0,76.0,91.0,Kathmandu,Male,B,0.0
318,22.0,54.0,92.0,27.0,Bhaktapur,Female,B,3.0
319,,,,,,,C,
320,,,,,,,C,
321,20.0,61.0,54.0,75.0,Kathmandu,Other,C,7.0
322,21.0,79.0,79.0,44.0,Lalitpur,Female,B,7.0
323,16.0,87.0,61.0,66.0,Bhaktapur,Other,D,8.0
324,24.0,82.0,29.0,85.0,Kathmandu,Female,B,4.0
325,16.0,7.0,54.0,65.0,Lalitpur,Other,A,6.0
326,24.0,94.0,15.0,87.0,Biratnagar,Female,B,2.0
327,15.0,20.0,11.0,33.0,Kathmandu,Other,A,9.0
328,,,,,,,D,
329,,,,,,,C,
330,23.0,79.0,11.0,0.0,Bhaktapur,Female,C,8.0
331,20.0,69.0,7.0,71.0,Kathmandu,Male,B,9.0
332,21.0,71.0,83.0,86.0,Biratnagar,Other,C,9.0
333,24.0,24.0,2.0,37.0,Kathmandu,Female,D,0.0
334,21.0,81.0,15.0,5.0,Biratnagar,Female,C,1.0
335,24.0,88.0,29.0,85.0,Pokhara,Other,B,4.0
336,17.0,11.0,22.0,24.0,Pokhara,Male,D,2.0
337,16.0,14.0,91.0,81.0,Biratnagar,Other,A,1.0
338,23.0,58.0,4.0,16.0,Bhaktapur,Other,B,0.0
339,22.0,25.0,83.0,60.0,Kathmandu,Other,A,9.0
340,24.0,25.0,64.0,11.0,Kathmandu,Female,D,2.0
341,21.0,46.0,29.0,5.0,Pokhara,Male,B,0.0
342,23.0,31.0,20.0,89.0,Biratnagar,Male,B,0.0
343,18.0,9.0,83.0,26.0,Kathmandu,Other,D,0.0
344,18.0,15.0,69.0,7.0,Kathmandu,Female,C,7.0
345,15.0,70.0,21.0,82.0,Bhaktapur,Other,B,2.0
346,22.0,16.0,81.0,64.0,Lalitpur,Female,B,0.0
347,,,,,,,A,
348,21.0,25.0,31.0,92.0,Pokhara,Female,C,9.0
349,16.0,84.0,32.0,98.0,Lalitpur,Female,A,2.0
350,16.0,85.0,15.0,39.0,Kathmandu,Male,A,7.0
351,21.0,6.0,75.0,13.0,Bhaktapur,Female,C,3.0
352,20.0,13.0,37.0,34.0,Bhaktapur,Female,C,3.0
353,17.0,78.0,97.0,47.0,Pokhara,Other,D,4.0
354,23.0,6.0,13.0,83.0,Bhaktapur,Other,C,5.0
355,24.0,8.0,35.0,55.0,Lalitpur,Male,B,6.0
356,20.0,47.0,96.0,48.0,Kathmandu,Other,C,3.0
357,24.0,71.0,22.0,12.0,Lalitpur,Female,D,7.0
358,24.0,58.0,65.0,60.0,Biratnagar,Other,D,5.0
359,20.0,86.0,84.0,48.0,Pokhara,Male,D,0.0
360,15.0,92.0,1.0,45.0,Bhaktapur,Other,C,0.0
361,18.0,81.0,90.0,61.0,Biratnagar,Other,C,8.0
362,24.0,94.0,72.0,7.0,Bhaktapur,Male,A,9.0
363,20.0,93.0,64.0,42.0,Kathmandu,Male,A,5.0
364,20.0,38.0,74.0,19.0,Kathmandu,Female,B,9.0
365,19.0,98.0,66.0,96.0,Kathmandu,Other,A,7.0
366,15.0,17.0,51.0,89.0,Bhaktapur,Female,B,6.0
367,22.0,58.0,61.0,38.0,Biratnagar,Other,D,5.0
368,19.0,16.0,22.0,84.0,Kathmandu,Other,A,3.0
369,19.0,13.0,25.0,48.0,Biratnagar,Female,C,6.0
370,21.0,30.0,67.0,63.0,Bhaktapur,Other,A,8.0
371,,,,,,,B,
372,,,,,,,A,
373,18.0,59.0,5.0,8.0,Bhaktapur,Male,D,6.0
374,17.0,44.0,34.0,87.0,Pokhara,Female,C,0.0
375,21.0,97.0,21.0,36.0,Bhaktapur,Male,B,9.0
376,22.0,2.0,42.0,48.0,Bhaktapur,Female,C,8.0
377,18.0,36.0,14.0,40.0,Lalitpur,Female,C,3.0
378,16.0,42.0,85.0,16.0,Kathmandu,Other,B,2.0
379,24.0,39.0,59.0,87.0,Pokhara,Female,C,3.0
380,17.0,89.0,11.0,20.0,Pokhara,Male,C,3.0
381,15.0,54.0,48.0,50.0,Pokhara,Male,A,9.0
382,22.0,86.0,41.0,58.0,Lalitpur,Male,C,1.0
383,,,,,,,C,
384,24.0,14.0,81.0,54.0,Kathmandu,Male,C,9.0
385,21.0,3.0,44.0,40.0,Biratnagar,Female,C,0.0
386,24.0,92.0,34.0,38.0,Bhaktapur,Male,B,7.0
387,19.0,85.0,29.0,12.0,Lalitpur,Male,D,1.0
388,24.0,24.0,87.0,63.0,Bhaktapur,Female,A,9.0
389,19.0,12.0,29.0,10.0,Bhaktapur,Male,C,4.0
390,21.0,81.0,77.0,18.0,Lalitpur,Other,C,3.0
391,23.0,32.0,5.0,10.0,Pokhara,Female,B,7.0
392,19.0,15.0,66.0,76.0,Pokhara,Female,D,1.0
393,15.0,41.0,79.0,45.0,Kathmandu,Female,C,9.0
394,24.0,65.0,6.0,44.0,Kathmandu,Other,B,8.0
395,24.0,54.0,51.0,0.0,Pokhara,Female,A,6.0
396,15.0,98.0,13.0,39.0,Biratnagar,Male,A,6.0
397,16.0,41.0,72.0,18.0,Bhaktapur,Male,C,0.0
398,20.0,33.0,14.0,75.0,Biratnagar,Male,C,1.0
399,23.0,29.0,20.0,71.0,Bhaktapur,Female,D,3.0
400,22.0,12.0,34.0,71.0,Pokhara,Male,D,3.0
401,19.0,12.0,65.0,60.0,Kathmandu,Female,C,2.0
402,15.0,17.0,90.0,11.0,Kathmandu,Male,B,6.0
403,21.0,31.0,1.0,60.0,Biratnagar,Other,D,7.0
404,19.0,95.0,34.0,32.0,Kathmandu,Other,C,1.0
405,20.0,98.0,81.0,44.0,Pokhara,Other,D,3.0
406,21.0,38.0,77.0,89.0,Biratnagar,Other,C,2.0
407,17.0,45.0,19.0,91.0,Bhaktapur,Female,A,1.0
408,24.0,28.0,81.0,68.0,Kathmandu,Male,C,5.0
409,17.0,61.0,9.0,7.0,Lalitpur,Other,A,3.0
410,19.0,92.0,24.0,24.0,Kathmandu,Female,D,5.0
411,20.0,61.0,65.0,90.0,Bhaktapur,Other,C,1.0
412,,,,,,,D,
413,19.0,15.0,53.0,86.0,Bhaktapur,Female,A,5.0
414,15.0,55.0,32.0,29.0,Lalitpur,Female,C,4.0
415,18.0,9.0,35.0,46.0,Pokhara,Male,D,2.0
416,19.0,29.0,94.0,86.0,Kathmandu,Male,A,7.0
417,24.0,24.0,13.0,48.0,Biratnagar,Other,D,6.0
418,24.0,83.0,64.0,46.0,Pokhara,Other,B,2.0
419,19.0,4.0,79.0,83.0,Bhaktapur,Male,A,5.0
420,21.0,64.0,53.0,81.0,Biratnagar,Male,A,3.0
421,18.0,93.0,51.0,17.0,Pokhara,Female,A,4.0
422,15.0,48.0,2.0,65.0,Biratnagar,Male,C,4.0
423,19.0,2.0,98.0,67.0,Lalitpur,Male,C,6.0
424,21.0,44.0,40.0,93.0,Lalitpur,Other,C,4.0
425,24.0,13.0,5.0,32.0,Kathmandu,Male,B,2.0
426,24.0,29.0,24.0,35.0,Kathmandu,Other,B,9.0
427,20.0,67.0,12.0,81.0,Lalitpur,Male,A,4.0
428,19.0,17.0,97.0,18.0,Biratnagar,Female,B,6.0
429,18.0,61.0,7.0,27.0,Lalitpur,Male,D,4.0
430,16.0,36.0,20.0,39.0,Kathmandu,Male,A,4.0
431,18.0,24.0,97.0,83.0,Lalitpur,Male,A,8.0
432,24.0,47.0,67.0,96.0,Lalitpur,Other,D,2.0
433,24.0,64.0,24.0,75.0,Biratnagar,Female,A,5.0
434,17.0,52.0,78.0,14.0,Pokhara,Male,B,0.0
435,24.0,78.0,67.0,40.0,Kathmandu,Other,C,9.0
436,15.0,72.0,44.0,38.0,Biratnagar,Female,D,4.0
437,,,,,,,B,
438,19.0,48.0,11.0,62.0,Lalitpur,Other,D,4.0
439,18.0,87.0,31.0,28.0,Pokhara,Female,D,8.0
440,,,,,,,A,
