student_id,age,math_score,science_score,english_score,city,gender,grade,study_hours,Average_Score,Total_Score,Result,Result_encoded
25,23.0,35.0,85.0,71.0,Pokhara,Male,A,1.0,63.666666666666664,191.0,pass,1
26,15.0,53.0,46.0,43.0,Bhaktapur,Female,D,0.0,47.333333333333336,142.0,pass,1
27,24.0,86.0,33.0,96.0,Biratnagar,Female,A,4.0,71.66666666666667,215.0,pass,1
28,17.0,56.0,64.0,41.0,Kathmandu,Other,C,8.0,53.666666666666664,161.0,pass,1
29,21.0,0.0,54.0,98.0,Biratnagar,Male,D,7.0,50.666666666666664,152.0,pass,1
30,18.0,62.0,89.0,5.0,Lalitpur,Other,C,3.0,52.0,156.0,pass,1
31,19.0,48.0,48.0,47.0,Bhaktapur,Other,B,4.5,47.666666666666664,143.0,pass,1
32,17.0,54.0,73.0,51.0,Pokhara,Male,C,4.0,59.333333333333336,178.0,pass,1
33,19.0,39.0,29.0,22.0,Biratnagar,Female,B,5.0,30.0,90.0,fail,0
34,17.0,14.0,81.0,88.0,Pokhara,Female,C,2.0,61.0,183.0,pass,1
35,21.0,20.0,16.0,49.0,Pokhara,Male,A,4.0,28.333333333333332,85.0,fail,0
36,19.0,46.0,25.0,42.0,Lalitpur,Other,C,1.0,37.666666666666664,113.0,fail,0
37,23.0,72.0,7.0,18.0,Pokhara,Female,A,9.0,32.333333333333336,97.0,fail,0
38,21.0,52.0,46.0,68.0,Lalitpur,Other,A,0.0,55.333333333333336,166.0,pass,1
39,16.0,8.0,75.0,50.0,Kathmandu,Female,D,0.0,44.333333333333336,133.0,pass,1
40,19.0,48.0,48.0,47.0,Bhaktapur,Other,A,4.5,47.666666666666664,143.0,pass,1
41,23.0,51.0,71.0,11.0,Pokhara,Other,B,6.0,44.333333333333336,133.0,pass,1
42,16.0,56.0,88.0,73.0,Lalitpur,Female,D,1.0,72.33333333333333,217.0,pass,1
43,24.0,25.0,45.0,7.0,Bhaktapur,Female,D,3.0,25.666666666666668,77.0,fail,0
44,23.0,40.0,67.0,23.0,Pokhara,Other,C,4.0,43.333333333333336,130.0,pass,1
45,24.0,34.0,32.0,91.0,Kathmandu,Female,A,6.0,52.333333333333336,157.0,pass,1
46,19.0,62.0,0.0,40.0,Kathmandu,Female,A,1.0,34.0,102.0,fail,0
47,16.0,24.0,18.0,35.0,Bhaktapur,Female,B,5.0,25.666666666666668,77.0,fail,0
48,18.0,89.0,30.0,84.0,Lalitpur,Other,C,0.0,67.66666666666667,203.0,pass,1
49,21.0,74.0,79.0,71.0,Pokhara,Male,C,6.0,74.66666666666667,224.0,pass,1
50,22.0,37.0,13.0,54.0,Lalitpur,Other,D,8.0,34.666666666666664,104.0,fail,0
51,17.0,1.0,52.0,8.0,Kathmandu,Male,D,4.0,20.333333333333332,61.0,fail,0
52,15.0,6.0,47.0,46.0,Lalitpur,Female,D,4.0,33.0,99.0,fail,0
53,18.0,81.0,68.0,14.0,Kathmandu,Male,B,3.0,54.333333333333336,163.0,pass,1
54,16.0,90.0,89.0,47.0,Lalitpur,Other,B,2.0,75.33333333333333,226.0,pass,1
55,19.0,48.0,48.0,47.0,Bhaktapur,Other,D,4.5,47.666666666666664,143.0,pass,1
56,18.0,90.0,91.0,41.0,Biratnagar,Female,C,4.0,74.0,222.0,pass,1
57,16.0,16.0,65.0,59.0,Bhaktapur,Male,B,7.0,46.666666666666664,140.0,pass,1
58,20.0,42.0,63.0,83.0,Bhaktapur,Female,C,8.0,62.666666666666664,188.0,pass,1
59,20.0,58.0,69.0,69.0,Biratnagar,Female,C,4.0,65.33333333333333,196.0,pass,1
60,19.0,48.0,48.0,47.0,Bhaktapur,Other,A,4.5,47.666666666666664,143.0,pass,1
61,18.0,53.0,72.0,1.0,Pokhara,Male,D,8.0,42.0,126.0,pass,1
62,20.0,23.0,32.0,6.0,Pokhara,Male,A,1.0,20.333333333333332,61.0,fail,0
63,16.0,24.0,40.0,79.0,Bhaktapur,Male,D,8.0,47.666666666666664,143.0,pass,1
64,19.0,48.0,48.0,47.0,Bhaktapur,Other,D,4.5,47.666666666666664,143.0,pass,1
65,16.0,51.0,47.0,2.0,Kathmandu,Female,C,5.0,33.333333333333336,100.0,fail,0
66,24.0,69.0,12.0,26.0,Kathmandu,Female,D,5.0,35.666666666666664,107.0,fail,0
67,19.0,48.0,48.0,47.0,Bhaktapur,Other,C,4.5,47.666666666666664,143.0,pass,1
68,19.0,48.0,48.0,47.0,Bhaktapur,Other,C,4.5,47.666666666666664,143.0,pass,1
69,21.0,48.0,30.0,91.0,Kathmandu,Female,D,6.0,56.333333333333336,169.0,pass,1
70,23.0,28.0,74.0,0.0,Kathmandu,Other,C,5.0,34.0,102.0,fail,0
71,19.0,48.0,48.0,47.0,Bhaktapur,Other,C,4.5,47.666666666666664,143.0,pass,1
72,19.0,21.0,97.0,31.0,Lalitpur,Other,C,1.0,49.666666666666664,149.0,pass,1
73,16.0,25.0,3.0,47.0,Kathmandu,Female,B,6.0,25.0,75.0,fail,0
74,19.0,27.0,18.0,3.0,Lalitpur,Female,C,0.0,16.0,48.0,fail,0
75,22.0,84.0,69.0,93.0,Biratnagar,Other,B,0.0,82.0,246.0,pass,1
76,24.0,48.0,97.0,69.0,Pokhara,Other,B,0.0,71.33333333333333,214.0,pass,1
77,19.0,48.0,48.0,47.0,Bhaktapur,Other,C,4.5,47.666666666666664,143.0,pass,1
78,23.0,80.0,12.0,31.0,Kathmandu,Female,C,3.0,41.0,123.0,pass,1
79,15.0,83.0,22.0,8.0,Bhaktapur,Female,B,3.0,37.666666666666664,113.0,fail,0
80,23.0,48.0,82.0,11.0,Kathmandu,Male,B,1.0,47.0,141.0,pass,1
81,21.0,19.0,74.0,10.0,Lalitpur,Female,C,0.0,34.333333333333336,103.0,fail,0
82,23.0,85.0,0.0,45.0,Bhaktapur,Female,C,9.0,43.333333333333336,130.0,pass,1
83,22.0,91.0,87.0,15.0,Lalitpur,Female,D,8.0,64.33333333333333,193.0,pass,1
84,15.0,62.0,53.0,0.0,Biratnagar,Other,B,6.0,38.333333333333336,115.0,fail,0
85,22.0,60.0,70.0,62.0,Lalitpur,Female,B,3.0,64.0,192.0,pass,1
86,22.0,48.0,88.0,20.0,Biratnagar,Other,D,5.0,52.0,156.0,pass,1
87,17.0,70.0,84.0,29.0,Biratnagar,Male,B,1.0,61.0,183.0,pass,1
88,15.0,0.0,14.0,12.0,Lalitpur,Male,A,6.0,8.666666666666666,26.0,fail,0
89,19.0,48.0,48.0,47.0,Bhaktapur,Other,B,4.5,47.666666666666664,143.0,pass,1
90,17.0,12.0,75.0,3.0,Biratnagar,Other,D,9.0,30.0,90.0,fail,0
91,17.0,93.0,70.0,27.0,Bhaktapur,Other,A,7.0,63.333333333333336,190.0,pass,1
92,15.0,86.0,14.0,94.0,Biratnagar,Female,C,7.0,64.66666666666667,194.0,pass,1
93,19.0,50.0,20.0,58.0,Pokhara,Male,D,0.0,42.666666666666664,128.0,pass,1
94,24.0,55.0,18.0,26.0,Biratnagar,Other,D,7.0,33.0,99.0,fail,0
95,21.0,82.0,59.0,68.0,Bhaktapur,Female,C,1.0,69.66666666666667,209.0,pass,1
96,24.0,61.0,92.0,24.0,Pokhara,Male,D,5.0,59.0,177.0,pass,1
97,19.0,48.0,48.0,47.0,Bhaktapur,Other,B,4.5,47.666666666666664,143.0,pass,1
98,21.0,29.0,32.0,96.0,Kathmandu,Male,C,4.0,52.333333333333336,157.0,pass,1
99,23.0,28.0,48.0,67.0,Bhaktapur,Female,D,6.0,47.666666666666664,143.0,pass,1
100,22.0,48.0,95.0,24.0,Biratnagar,Male,C,9.0,55.666666666666664,167.0,pass,1
101,16.0,44.0,34.0,19.0,Lalitpur,Male,C,0.0,32.333333333333336,97.0,fail,0
102,19.0,48.0,48.0,47.0,Bhaktapur,Other,C,4.5,47.666666666666664,143.0,pass,1
103,21.0,29.0,89.0,25.0,Pokhara,Other,A,6.0,47.666666666666664,143.0,pass,1
104,21.0,15.0,10.0,4.0,Pokhara,Male,D,5.0,9.666666666666666,29.0,fail,0
105,22.0,39.0,98.0,98.0,Kathmandu,Other,A,2.0,78.33333333333333,235.0,pass,1
106,19.0,18.0,71.0,60.0,Pokhara,Female,D,9.0,49.666666666666664,149.0,pass,1
107,17.0,17.0,77.0,91.0,Bhaktapur,Other,B,1.0,61.666666666666664,185.0,pass,1
108,19.0,48.0,48.0,47.0,Bhaktapur,Other,B,4.5,47.666666666666664,143.0,pass,1
109,20.0,77.0,65.0,8.0,Bhaktapur,Other,B,3.0,50.0,150.0,pass,1
110,17.0,46.0,45.0,49.0,Lalitpur,Other,D,2.0,46.666666666666664,140.0,pass,1
111,15.0,65.0,8.0,5.0,Kathmandu,Other,C,6.0,26.0,78.0,fail,0
112,17.0,91.0,2.0,82.0,Pokhara,Male,C,7.0,58.333333333333336,175.0,pass,1
113,19.0,93.0,84.0,59.0,Bhaktapur,Male,A,1.0,78.66666666666667,236.0,pass,1
114,17.0,37.0,25.0,43.0,Biratnagar,Male,A,9.0,35.0,105.0,fail,0
115,15.0,50.0,71.0,10.0,Kathmandu,Female,B,6.0,43.666666666666664,131.0,pass,1
116,19.0,62.0,47.0,65.0,Lalitpur,Other,A,7.0,58.0,174.0,pass,1
117,24.0,3.0,65.0,46.0,Bhaktapur,Male,D,5.0,38.0,114.0,fail,0
118,21.0,0.0,69.0,72.0,Lalitpur,Female,D,5.0,47.0,141.0,pass,1
119,21.0,7.0,27.0,84.0,Lalitpur,Male,A,9.0,39.333333333333336,118.0,fail,0
120,23.0,28.0,92.0,87.0,Pokhara,Male,A,0.0,69.0,207.0,pass,1
121,24.0,54.0,25.0,97.0,Pokhara,Other,A,3.0,58.666666666666664,176.0,pass,1
122,24.0,2.0,24.0,85.0,Bhaktapur,Female,A,0.0,37.0,111.0,fail,0
123,17.0,31.0,11.0,2.0,Biratnagar,Other,B,3.0,14.666666666666666,44.0,fail,0
124,21.0,9.0,4.0,75.0,Bhaktapur,Other,B,1.0,29.333333333333332,88.0,fail,0
125,15.0,73.0,97.0,91.0,Biratnagar,Male,A,4.0,87.0,261.0,pass,1
126,18.0,82.0,47.0,29.0,Lalitpur,Other,D,9.0,52.666666666666664,158.0,pass,1
127,18.0,33.0,36.0,89.0,Kathmandu,Female,B,8.0,52.666666666666664,158.0,pass,1
128,19.0,96.0,78.0,20.0,Bhaktapur,Other,D,9.0,64.66666666666667,194.0,pass,1
129,21.0,86.0,43.0,27.0,Bhaktapur,Other,C,2.0,52.0,156.0,pass,1
130,21.0,54.0,99.0,89.0,Biratnagar,Other,D,7.0,80.66666666666667,242.0,pass,1
131,18.0,91.0,14.0,61.0,Lalitpur,Male,A,2.0,55.333333333333336,166.0,pass,1
132,21.0,31.0,42.0,32.0,Lalitpur,Female,C,5.0,35.0,105.0,fail,0
133,17.0,49.0,47.0,84.0,Biratnagar,Male,B,3.0,60.0,180.0,pass,1
134,20.0,6.0,86.0,34.0,Lalitpur,Male,B,7.0,42.0,126.0,pass,1
135,16.0,92.0,69.0,51.0,Pokhara,Male,C,5.0,70.66666666666667,212.0,pass,1
136,24.0,7.0,45.0,33.0,Kathmandu,Male,D,7.0,28.333333333333332,85.0,fail,0
137,19.0,48.0,48.0,47.0,Bhaktapur,Other,B,4.5,47.666666666666664,143.0,pass,1
138,19.0,56.0,20.0,50.0,Kathmandu,Female,A,5.0,42.0,126.0,pass,1
139,20.0,66.0,22.0,46.0,Bhaktapur,Other,C,0.0,44.666666666666664,134.0,pass,1
140,19.0,48.0,48.0,47.0,Bhaktapur,Other,A,4.5,47.666666666666664,143.0,pass,1
141,24.0,86.0,46.0,57.0,Lalitpur,Male,C,7.0,63.0,189.0,pass,1
142,21.0,58.0,14.0,74.0,Biratnagar,Female,B,6.0,48.666666666666664,146.0,pass,1
143,23.0,71.0,24.0,56.0,Pokhara,Female,D,2.0,50.333333333333336,151.0,pass,1
144,21.0,53.0,35.0,22.0,Kathmandu,Other,C,5.0,36.666666666666664,110.0,fail,0
145,15.0,66.0,74.0,47.0,Biratnagar,Female,C,8.0,62.333333333333336,187.0,pass,1
146,15.0,50.0,50.0,21.0,Lalitpur,Other,A,6.0,40.333333333333336,121.0,pass,1
147,23.0,96.0,14.0,16.0,Pokhara,Male,B,2.0,42.0,126.0,pass,1
148,23.0,91.0,67.0,68.0,Biratnagar,Male,A,5.0,75.33333333333333,226.0,pass,1
149,18.0,7.0,20.0,10.0,Pokhara,Other,B,3.0,12.333333333333334,37.0,fail,0
150,23.0,33.0,12.0,93.0,Pokhara,Female,A,2.0,46.0,138.0,pass,1
151,17.0,34.0,85.0,14.0,Lalitpur,Other,C,8.0,44.333333333333336,133.0,pass,1
152,21.0,95.0,18.0,90.0,Bhaktapur,Female,A,9.0,67.66666666666667,203.0,pass,1
153,20.0,87.0,33.0,34.0,Biratnagar,Male,D,1.0,51.333333333333336,154.0,pass,1
154,22.0,77.0,77.0,32.0,Lalitpur,Female,B,0.0,62.0,186.0,pass,1
155,23.0,31.0,67.0,83.0,Pokhara,Other,B,1.0,60.333333333333336,181.0,pass,1
156,19.0,45.0,51.0,15.0,Lalitpur,Other,C,6.0,37.0,111.0,fail,0
157,15.0,15.0,26.0,33.0,Bhaktapur,Male,B,9.0,24.666666666666668,74.0,fail,0
158,17.0,67.0,28.0,65.0,Biratnagar,Female,D,0.0,53.333333333333336,160.0,pass,1
159,24.0,36.0,27.0,98.0,Bhaktapur,Female,A,5.0,53.666666666666664,161.0,pass,1
160,22.0,53.0,34.0,39.0,Kathmandu,Female,C,6.0,42.0,126.0,pass,1
161,20.0,84.0,7.0,27.0,Biratnagar,Male,D,8.0,39.333333333333336,118.0,fail,0
162,22.0,13.0,15.0,46.0,Bhaktapur,Female,B,7.0,24.666666666666668,74.0,fail,0
163,23.0,94.0,35.0,38.0,Pokhara,Other,B,5.0,55.666666666666664,167.0,pass,1
164,18.0,54.0,29.0,69.0,Biratnagar,Female,D,2.0,50.666666666666664,152.0,pass,1
165,15.0,47.0,17.0,72.0,Biratnagar,Male,A,7.0,45.333333333333336,136.0,pass,1
166,15.0,81.0,1.0,19.0,Lalitpur,Female,A,6.0,33.666666666666664,101.0,fail,0
167,24.0,6.0,48.0,0.0,Pokhara,Female,C,2.0,18.0,54.0,fail,0
168,18.0,73.0,76.0,71.0,Kathmandu,Other,B,8.0,73.33333333333333,220.0,pass,1
169,21.0,6.0,3.0,86.0,Bhaktapur,Female,D,1.0,31.666666666666668,95.0,fail,0
170,16.0,32.0,89.0,62.0,Lalitpur,Other,A,2.0,61.0,183.0,pass,1
171,17.0,22.0,88.0,66.0,Bhaktapur,Other,C,1.0,58.666666666666664,176.0,pass,1
172,15.0,84.0,93.0,3.0,Kathmandu,Male,B,0.0,60.0,180.0,pass,1
173,19.0,18.0,74.0,57.0,Kathmandu,Other,B,3.0,49.666666666666664,149.0,pass,1
174,15.0,18.0,6.0,24.0,Biratnagar,Other,C,4.0,16.0,48.0,fail,0
175,19.0,48.0,48.0,47.0,Bhaktapur,Other,C,4.5,47.666666666666664,143.0,pass,1
176,15.0,28.0,73.0,37.0,Bhaktapur,Other,A,4.0,46.0,138.0,pass,1
177,15.0,59.0,38.0,14.0,Pokhara,Male,D,0.0,37.0,111.0,fail,0
178,16.0,81.0,12.0,62.0,Pokhara,Female,B,2.0,51.666666666666664,155.0,pass,1
179,16.0,1.0,30.0,20.0,Biratnagar,Male,D,0.0,17.0,51.0,fail,0
180,20.0,0.0,70.0,98.0,Bhaktapur,Other,B,4.0,56.0,168.0,pass,1
181,21.0,46.0,62.0,56.0,Bhaktapur,Male,B,4.0,54.666666666666664,164.0,pass,1
182,19.0,68.0,55.0,52.0,Kathmandu,Other,D,5.0,58.333333333333336,175.0,pass,1
183,15.0,19.0,41.0,45.0,Bhaktapur,Female,C,7.0,35.0,105.0,fail,0
184,15.0,10.0,60.0,13.0,Lalitpur,Male,A,9.0,27.666666666666668,83.0,fail,0
185,17.0,1.0,41.0,99.0,Kathmandu,Female,B,0.0,47.0,141.0,pass,1
186,16.0,66.0,55.0,75.0,Lalitpur,Other,C,3.0,65.33333333333333,196.0,pass,1
187,19.0,86.0,35.0,16.0,Biratnagar,Other,B,9.0,45.666666666666664,137.0,pass,1
188,24.0,11.0,83.0,38.0,Pokhara,Female,A,0.0,44.0,132.0,pass,1
189,20.0,19.0,67.0,8.0,Biratnagar,Male,B,8.0,31.333333333333332,94.0,fail,0
190,21.0,4.0,6.0,98.0,Pokhara,Male,A,6.0,36.0,108.0,fail,0
191,18.0,36.0,53.0,76.0,Biratnagar,Other,A,6.0,55.0,165.0,pass,1
192,21.0,37.0,0.0,78.0,Bhaktapur,Female,B,4.0,38.333333333333336,115.0,fail,0
193,22.0,93.0,43.0,81.0,Lalitpur,Female,B,6.0,72.33333333333333,217.0,pass,1
194,15.0,8.0,44.0,96.0,Pokhara,Male,A,1.0,49.333333333333336,148.0,pass,1
195,20.0,97.0,46.0,5.0,Kathmandu,Male,C,3.0,49.333333333333336,148.0,pass,1
196,22.0,52.0,12.0,90.0,Lalitpur,Male,D,6.0,51.333333333333336,154.0,pass,1
197,19.0,43.0,21.0,22.0,Kathmandu,Female,A,2.0,28.666666666666668,86.0,fail,0
198,18.0,98.0,20.0,58.0,Lalitpur,Male,B,1.0,58.666666666666664,176.0,pass,1
199,19.0,48.0,48.0,47.0,Bhaktapur,Other,B,4.5,47.666666666666664,143.0,pass,1
200,20.0,23.0,91.0,97.0,Biratnagar,Other,C,1.0,70.33333333333333,211.0,pass,1
201,20.0,80.0,8.0,45.0,Pokhara,Male,D,0.0,44.333333333333336,133.0,pass,1
202,15.0,73.0,25.0,37.0,Pokhara,Male,A,4.0,45.0,135.0,pass,1
203,23.0,29.0,8.0,13.0,Lalitpur,Female,A,5.0,16.666666666666668,50.0,fail,0
204,20.0,58.0,14.0,99.0,Bhaktapur,Female,D,5.0,57.0,171.0,pass,1
205,17.0,86.0,9.0,71.0,Bhaktapur,Other,A,8.0,55.333333333333336,166.0,pass,1
206,18.0,95.0,87.0,61.0,Kathmandu,Male,D,3.0,81.0,243.0,pass,1
207,18.0,80.0,41.0,34.0,Kathmandu,Other,B,0.0,51.666666666666664,155.0,pass,1
208,17.0,80.0,71.0,18.0,Biratnagar,Female,D,5.0,56.333333333333336,169.0,pass,1
209,24.0,13.0,23.0,29.0,Lalitpur,Other,A,4.0,21.666666666666668,65.0,fail,0
210,19.0,48.0,48.0,47.0,Bhaktapur,Other,D,4.5,47.666666666666664,143.0,pass,1
211,19.0,48.0,48.0,47.0,Bhaktapur,Other,C,4.5,47.666666666666664,143.0,pass,1
212,18.0,65.0,25.0,24.0,Lalitpur,Other,B,2.0,38.0,114.0,fail,0
213,21.0,24.0,90.0,39.0,Biratnagar,Male,B,1.0,51.0,153.0,pass,1
214,18.0,72.0,36.0,87.0,Kathmandu,Other,D,5.0,65.0,195.0,pass,1
215,23.0,21.0,67.0,13.0,Biratnagar,Male,A,0.0,33.666666666666664,101.0,fail,0
216,15.0,3.0,49.0,25.0,Pokhara,Male,C,6.0,25.666666666666668,77.0,fail,0
217,22.0,25.0,23.0,86.0,Biratnagar,Male,B,6.0,44.666666666666664,134.0,pass,1
218,21.0,57.0,18.0,21.0,Bhaktapur,Male,B,9.0,32.0,96.0,fail,0
219,19.0,48.0,48.0,47.0,Bhaktapur,Other,A,4.5,47.666666666666664,143.0,pass,1
220,22.0,97.0,59.0,82.0,Biratnagar,Female,A,9.0,79.33333333333333,238.0,pass,1
221,15.0,86.0,38.0,50.0,Bhaktapur,Female,C,0.0,58.0,174.0,pass,1
222,19.0,48.0,48.0,47.0,Bhaktapur,Other,D,4.5,47.666666666666664,143.0,pass,1
223,23.0,74.0,88.0,41.0,Lalitpur,Other,A,6.0,67.66666666666667,203.0,pass,1
224,16.0,69.0,17.0,18.0,Bhaktapur,Male,D,8.0,34.666666666666664,104.0,fail,0
225,21.0,17.0,18.0,72.0,Bhaktapur,Female,C,4.0,35.666666666666664,107.0,fail,0
226,24.0,84.0,35.0,27.0,Biratnagar,Other,D,1.0,48.666666666666664,146.0,pass,1
227,17.0,41.0,73.0,83.0,Pokhara,Male,B,6.0,65.66666666666667,197.0,pass,1
228,21.0,99.0,96.0,44.0,Lalitpur,Female,D,9.0,79.66666666666667,239.0,pass,1
229,24.0,40.0,54.0,70.0,Biratnagar,Male,C,0.0,54.666666666666664,164.0,pass,1
230,23.0,37.0,68.0,77.0,Biratnagar,Female,C,6.0,60.666666666666664,182.0,pass,1
231,18.0,33.0,46.0,62.0,Pokhara,Female,C,5.0,47.0,141.0,pass,1
232,15.0,16.0,48.0,72.0,Lalitpur,Female,D,6.0,45.333333333333336,136.0,pass,1
233,16.0,36.0,98.0,18.0,Pokhara,Male,B,9.0,50.666666666666664,152.0,pass,1
234,15.0,24.0,97.0,46.0,Lalitpur,Other,A,2.0,55.666666666666664,167.0,pass,1
235,19.0,75.0,32.0,13.0,Pokhara,Male,B,2.0,40.0,120.0,pass,1
236,19.0,48.0,48.0,47.0,Bhaktapur,Other,D,4.5,47.666666666666664,143.0,pass,1
237,21.0,85.0,80.0,52.0,Biratnagar,Male,D,1.0,72.33333333333333,217.0,pass,1
238,23.0,84.0,21.0,60.0,Kathmandu,Other,A,0.0,55.0,165.0,pass,1
239,23.0,26.0,47.0,35.0,Bhaktapur,Male,D,8.0,36.0,108.0,fail,0
240,17.0,56.0,36.0,39.0,Pokhara,Other,C,8.0,43.666666666666664,131.0,pass,1
241,17.0,30.0,14.0,80.0,Kathmandu,Other,C,6.0,41.333333333333336,124.0,pass,1
242,17.0,5.0,34.0,29.0,Bhaktapur,Male,C,6.0,22.666666666666668,68.0,fail,0
243,18.0,90.0,91.0,8.0,Pokhara,Female,C,2.0,63.0,189.0,pass,1
244,22.0,39.0,70.0,63.0,Lalitpur,Other,C,9.0,57.333333333333336,172.0,pass,1
245,20.0,97.0,31.0,32.0,Bhaktapur,Male,D,1.0,53.333333333333336,160.0,pass,1
246,22.0,11.0,10.0,51.0,Biratnagar,Other,A,6.0,24.0,72.0,fail,0
247,15.0,52.0,9.0,88.0,Kathmandu,Female,A,8.0,49.666666666666664,149.0,pass,1
248,22.0,70.0,72.0,13.0,Bhaktapur,Male,C,0.0,51.666666666666664,155.0,pass,1
249,18.0,9.0,77.0,74.0,Bhaktapur,Male,D,3.0,53.333333333333336,160.0,pass,1
250,15.0,44.0,76.0,52.0,Biratnagar,Male,B,5.0,57.333333333333336,172.0,pass,1
251,22.0,16.0,56.0,98.0,Pokhara,Female,B,6.0,56.666666666666664,170.0,pass,1
252,18.0,25.0,24.0,58.0,Lalitpur,Other,D,9.0,35.666666666666664,107.0,fail,0
253,20.0,84.0,1.0,77.0,Biratnagar,Male,C,6.0,54.0,162.0,pass,1
254,22.0,91.0,63.0,93.0,Lalitpur,Other,A,9.0,82.33333333333333,247.0,pass,1
255,18.0,61.0,34.0,40.0,Pokhara,Other,D,1.0,45.0,135.0,pass,1
256,17.0,45.0,6.0,67.0,Bhaktapur,Female,B,3.0,39.333333333333336,118.0,fail,0
257,23.0,63.0,84.0,67.0,Lalitpur,Male,B,4.0,71.33333333333333,214.0,pass,1
258,17.0,1.0,17.0,91.0,Kathmandu,Other,B,0.0,36.333333333333336,109.0,fail,0
259,23.0,53.0,66.0,7.0,Kathmandu,Male,C,0.0,42.0,126.0,pass,1
260,16.0,64.0,41.0,1.0,Biratnagar,Male,B,9.0,35.333333333333336,106.0,fail,0
261,16.0,50.0,38.0,85.0,Pokhara,Female,D,2.0,57.666666666666664,173.0,pass,1
262,19.0,48.0,48.0,47.0,Bhaktapur,Other,D,4.5,47.666666666666664,143.0,pass,1
263,20.0,35.0,74.0,54.0,Biratnagar,Male,B,2.0,54.333333333333336,163.0,pass,1
264,17.0,25.0,23.0,15.0,Biratnagar,Other,D,7.0,21.0,63.0,fail,0
265,23.0,28.0,59.0,92.0,Kathmandu,Female,B,8.0,59.666666666666664,179.0,pass,1
266,18.0,20.0,45.0,61.0,Kathmandu,Male,B,0.0,42.0,126.0,pass,1
267,15.0,10.0,18.0,47.0,Biratnagar,Other,A,1.0,25.0,75.0,fail,0
268,18.0,39.0,67.0,29.0,Kathmandu,Female,C,9.0,45.0,135.0,pass,1
269,15.0,10.0,89.0,11.0,Pokhara,Female,C,1.0,36.666666666666664,110.0,fail,0
270,19.0,35.0,41.0,34.0,Biratnagar,Other,A,3.0,36.666666666666664,110.0,fail,0
271,18.0,58.0,31.0,10.0,Kathmandu,Other,A,1.0,33.0,99.0,fail,0
272,22.0,38.0,38.0,63.0,Lalitpur,Other,C,6.0,46.333333333333336,139.0,pass,1
273,22.0,98.0,35.0,49.0,Biratnagar,Other,B,8.0,60.666666666666664,182.0,pass,1
274,21.0,53.0,96.0,84.0,Biratnagar,Other,B,6.0,77.66666666666667,233.0,pass,1
275,17.0,97.0,35.0,20.0,Pokhara,Male,C,5.0,50.666666666666664,152.0,pass,1
276,19.0,48.0,48.0,47.0,Bhaktapur,Other,B,4.5,47.666666666666664,143.0,pass,1
277,15.0,23.0,72.0,47.0,Bhaktapur,Female,A,0.0,47.333333333333336,142.0,pass,1
278,19.0,48.0,48.0,47.0,Bhaktapur,Other,B,4.5,47.666666666666664,143.0,pass,1
